City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
110,Novopavlovka,RU,2020-02-24 01:22:28,51.22,109.21,-4.09,99,68,1.12,broken clouds
111,Broome,US,2020-02-24 01:20:34,42.25,-75.83,41.0,29,1,5.82,clear sky
112,Port Alfred,ZA,2020-02-24 01:18:54,-33.59,26.89,59.0,82,20,0.58,few clouds
113,Cap Malheureux,MU,2020-02-24 01:25:57,-19.98,57.61,73.99,94,20,3.36,few clouds
114,Mikhaylovka,RU,2020-02-24 01:25:57,50.06,43.24,36.0,93,100,1.99,light rain
115,Nabire,ID,2020-02-24 01:16:42,-3.37,135.48,73.17,99,98,1.28,moderate rain
116,Puerto Santander,CO,2020-02-24 01:25:57,8.36,-72.41,80.6,61,40,2.24,scattered clouds
117,Tasiilaq,GL,2020-02-24 01:16:57,65.61,-37.64,8.6,71,44,3.36,scattered clouds
118,Jamestown,US,2020-02-24 01:18:53,42.1,-79.24,46.4,33,90,10.29,overcast clouds
119,Mookane,BW,2020-02-24 01:25:58,-23.69,26.66,67.14,79,100,10.94,light rain
120,Sao Felix Do Xingu,BR,2020-02-24 01:25:58,-6.64,-51.99,73.65,96,94,0.47,light rain
121,Kamenka,RU,2020-02-24 01:25:58,51.32,42.77,34.0,97,100,1.99,light snow
122,College,US,2020-02-24 01:25:58,64.86,-147.8,1.99,70,1,4.7,clear sky
123,Belaya Gora,RU,2020-02-24 01:20:18,68.53,146.42,-13.36,97,95,3.47,overcast clouds
124,Dunedin,NZ,2020-02-24 01:25:59,-45.87,170.5,66.0,60,52,14.0,broken clouds
125,Hithadhoo,MV,2020-02-24 01:17:49,-0.6,73.08,83.59,76,83,13.15,broken clouds
126,Chenzhou,CN,2020-02-24 01:25:59,25.8,113.03,61.21,81,15,3.51,few clouds
127,Axams,AT,2020-02-24 01:25:59,47.21,11.29,64.4,34,75,25.28,broken clouds
128,Ancud,CL,2020-02-24 01:17:06,-41.87,-73.82,53.6,76,20,8.05,few clouds
129,Grindavik,IS,2020-02-24 01:19:46,63.84,-22.43,33.8,88,75,21.92,shower rain
130,Avera,US,2020-02-24 01:19:19,33.19,-82.53,57.2,58,90,4.88,overcast clouds
131,Sungairaya,ID,2020-02-24 01:26:00,0.7,108.9,76.1,92,56,5.44,broken clouds
132,Mbanza-Ngungu,CD,2020-02-24 01:26:00,-5.25,14.87,71.02,98,100,2.59,light rain
133,Lebu,CL,2020-02-24 01:18:55,-37.62,-73.65,56.97,80,6,6.58,clear sky
134,Puerto Escondido,MX,2020-02-24 01:23:48,15.85,-97.07,82.4,83,40,8.05,scattered clouds
135,Sorland,NO,2020-02-24 01:19:01,67.67,12.69,34.5,66,100,33.02,light snow
136,Dikson,RU,2020-02-24 01:18:47,73.51,80.55,24.75,91,100,28.34,light snow
137,Yellowknife,CA,2020-02-24 01:17:01,62.46,-114.35,-5.01,70,75,4.7,broken clouds
138,Champasak,LA,2020-02-24 01:26:02,14.75,106.0,71.6,56,40,2.24,mist
139,Narasannapeta,IN,2020-02-24 01:26:02,18.42,84.05,67.1,78,0,1.68,clear sky
140,Morwa,IN,2020-02-24 01:26:02,22.9,73.83,60.8,49,0,8.88,clear sky
141,Puerto Madryn,AR,2020-02-24 01:23:48,-42.77,-65.04,61.75,73,0,13.98,clear sky
142,North Bend,US,2020-02-24 01:19:56,43.41,-124.22,48.2,66,75,12.75,broken clouds
143,Portland,US,2020-02-24 01:16:22,45.52,-122.68,48.2,60,75,11.41,light rain
144,Atuona,PF,2020-02-24 01:19:42,-9.8,-139.03,81.37,76,20,11.83,few clouds
145,The Valley,AI,2020-02-24 01:26:03,18.22,-63.06,78.8,69,20,2.24,few clouds
