City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
154,Landskrona,SE,2020-02-24 09:39:50,55.87,12.83,43.0,75,28,11.41,scattered clouds,0.0,0.0
155,Kontagora,NG,2020-02-24 09:39:50,10.4,5.47,85.68,10,58,13.33,broken clouds,0.0,0.0
156,Kalyazin,RU,2020-02-24 09:39:51,57.24,37.84,34.74,90,95,10.31,light snow,0.0,0.13
157,Bukachacha,RU,2020-02-24 09:39:51,52.98,116.92,14.4,78,0,2.57,clear sky,0.0,0.0
158,Port Elizabeth,ZA,2020-02-24 09:39:51,-33.92,25.57,69.8,56,0,8.05,clear sky,0.0,0.0
159,Daru,PG,2020-02-24 09:39:51,-9.08,143.21,80.04,90,87,4.72,light rain,2.88,0.0
160,Srivardhan,IN,2020-02-24 09:35:31,18.03,73.02,84.2,39,33,10.49,scattered clouds,0.0,0.0
161,Egvekinot,RU,2020-02-24 09:39:52,66.32,-179.17,-23.8,90,0,2.21,clear sky,0.0,0.0
162,Constitucion,CL,2020-02-24 09:39:52,-35.33,-72.42,50.83,83,43,7.27,scattered clouds,0.0,0.0
163,Northam,GB,2020-02-24 09:39:52,51.03,-4.22,53.01,93,40,20.8,scattered clouds,0.0,0.0
164,Beyneu,KZ,2020-02-24 09:39:52,45.32,55.2,49.14,80,70,8.68,broken clouds,0.0,0.0
165,Nikolskoye,RU,2020-02-24 09:39:53,59.7,30.79,37.99,80,90,15.66,overcast clouds,0.0,0.0
166,Broken Hill,AU,2020-02-24 09:39:53,-31.95,141.43,86.0,33,24,10.29,few clouds,0.0,0.0
167,Kempsey,AU,2020-02-24 09:39:53,-31.08,152.83,72.0,85,65,2.08,broken clouds,0.0,0.0
168,Guerrero Negro,MX,2020-02-24 09:39:53,27.98,-114.06,57.7,87,92,13.87,overcast clouds,0.0,0.0
169,Puerto Escondido,MX,2020-02-24 09:39:53,15.85,-97.07,68.38,71,0,2.8,clear sky,0.0,0.0
170,Chuy,UY,2020-02-24 09:39:54,-33.7,-53.46,61.75,87,7,6.46,clear sky,0.0,0.0
171,Mahebourg,MU,2020-02-24 09:39:54,-20.41,57.7,84.0,74,75,5.82,shower rain,0.0,0.0
172,Mishan,CN,2020-02-24 09:39:54,45.55,131.88,20.16,87,32,10.4,scattered clouds,0.0,0.0
173,Isangel,VU,2020-02-24 09:39:55,-19.55,169.27,75.2,83,20,14.99,few clouds,0.0,0.0
174,Kerman,IR,2020-02-24 09:39:55,30.28,57.08,66.2,13,67,6.93,broken clouds,0.0,0.0
175,Ribeira Grande,PT,2020-02-24 09:39:55,38.52,-28.7,59.0,82,40,10.29,scattered clouds,0.0,0.0
176,Geraldton,AU,2020-02-24 09:39:55,-28.77,114.6,80.6,74,40,14.99,scattered clouds,0.0,0.0
177,Mandalgovi,MN,2020-02-24 09:39:55,45.76,106.27,23.05,58,100,18.63,overcast clouds,0.0,0.0
178,Villazon,BO,2020-02-24 09:39:56,-22.09,-65.59,50.29,86,100,1.57,overcast clouds,0.0,0.0
179,Khatanga,RU,2020-02-24 09:39:56,71.97,102.5,19.72,85,100,19.24,light snow,0.0,0.13
180,Polyarnyy,RU,2020-02-24 09:39:57,69.2,33.45,28.4,79,75,4.47,broken clouds,0.0,0.0
181,Tiznit,MA,2020-02-24 09:39:57,29.58,-9.5,64.56,15,91,11.63,overcast clouds,0.0,0.0
182,Klaksvik,FO,2020-02-24 09:39:57,62.23,-6.59,35.6,80,100,1.12,overcast clouds,0.0,0.0
183,Tekeli,KZ,2020-02-24 09:39:57,44.83,78.82,28.53,70,100,6.76,overcast clouds,0.0,0.0
184,Olafsvik,IS,2020-02-24 09:39:57,64.89,-23.71,33.91,85,100,10.25,light snow,0.0,0.75
185,Chato,TZ,2020-02-24 09:39:58,-2.64,31.77,73.54,80,71,13.62,light rain,2.81,0.0
186,Saint George,US,2020-02-24 09:39:58,37.1,-113.58,42.8,81,1,4.7,clear sky,0.0,0.0
187,Singapore,SG,2020-02-24 09:39:03,1.29,103.85,84.2,79,75,13.87,shower rain,0.0,0.0
188,Marevo,RU,2020-02-24 09:39:58,57.31,32.08,38.64,67,46,9.82,scattered clouds,0.0,0.0
189,Tasiilaq,GL,2020-02-24 09:39:58,65.61,-37.64,5.0,60,93,2.24,overcast clouds,0.0,0.0
190,Mandera,KE,2020-02-24 09:39:59,3.94,41.87,94.64,22,60,9.33,broken clouds,0.0,0.0
191,Leningradskiy,RU,2020-02-24 09:39:59,69.38,178.42,-18.78,70,0,2.08,clear sky,0.0,0.0
192,Nabire,ID,2020-02-24 09:39:59,-3.37,135.48,75.09,98,100,0.67,light rain,0.63,0.0
193,Najran,SA,2020-02-24 09:39:59,17.49,44.13,86.0,20,0,15.64,clear sky,0.0,0.0
194,Sitka,US,2020-02-24 09:39:59,57.05,-135.33,30.2,86,90,6.93,light snow,0.0,0.0
195,Hobyo,SO,2020-02-24 09:40:00,5.35,48.53,88.77,48,100,22.59,overcast clouds,0.0,0.0
196,Seshcha,RU,2020-02-24 09:40:00,53.74,33.34,37.4,70,100,3.44,overcast clouds,0.0,0.0
197,Aleksandro-Nevskiy,RU,2020-02-24 09:40:00,53.48,40.21,30.22,92,65,6.96,broken clouds,0.0,0.0
198,Presidencia Roque Saenz Pena,AR,2020-02-24 09:40:00,-26.79,-60.44,60.73,65,0,3.29,clear sky,0.0,0.0
199,Batagay-Alyta,RU,2020-02-24 09:40:00,67.8,130.41,-11.52,85,100,4.12,overcast clouds,0.0,0.0
200,Vilhena,BR,2020-02-24 09:40:01,-12.74,-60.15,68.45,99,100,0.69,light rain,0.63,0.0
201,Asyut,EG,2020-02-24 09:40:01,27.18,31.18,57.96,40,59,14.36,broken clouds,0.0,0.0
202,Ashcroft,CA,2020-02-24 09:40:01,50.72,-121.29,35.6,92,90,2.24,light snow,0.0,0.0
203,Dudinka,RU,2020-02-24 09:40:01,69.41,86.18,17.6,92,75,33.55,broken clouds,0.0,0.0
204,Vila Velha,BR,2020-02-24 09:40:01,-20.33,-40.29,75.2,78,75,3.36,broken clouds,0.0,0.0
205,Kanlagay,PH,2020-02-24 09:40:02,5.88,121.29,83.17,73,100,8.14,overcast clouds,0.0,0.0
206,Villa Rica,US,2020-02-24 09:40:02,33.73,-84.92,46.99,65,90,2.86,drizzle,0.0,0.0
207,Kayerkan,RU,2020-02-24 09:40:02,69.35,87.76,17.6,92,75,33.55,broken clouds,0.0,0.0
208,Deputatskiy,RU,2020-02-24 09:40:02,69.3,139.9,-21.64,95,0,3.65,clear sky,0.0,0.0
209,Hamilton,US,2020-02-24 09:40:02,39.18,-84.53,42.01,86,1,4.34,clear sky,0.0,0.0
