,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
141,141,Arraial Do Cabo,BR,2020-02-24 08:00:05,-22.97,-42.03,73.94,74,67,7.81,broken clouds,0.0,0.0
142,142,Deputatskiy,RU,2020-02-24 08:02:11,69.3,139.9,-21.64,95,0,3.65,clear sky,0.0,0.0
143,143,Vardo,NO,2020-02-24 07:58:55,70.37,31.11,32.0,95,40,18.34,scattered clouds,0.0,0.0
144,144,Harper,LR,2020-02-24 08:02:12,4.38,-7.72,84.54,78,70,3.69,broken clouds,0.0,0.0
145,145,Carballo,ES,2020-02-24 08:02:12,43.21,-8.69,51.01,100,90,4.7,fog,0.0,0.0
146,146,Veinticinco De Mayo,AR,2020-02-24 08:02:12,-35.43,-60.17,61.0,88,0,1.01,clear sky,0.0,0.0
147,147,Necochea,AR,2020-02-24 08:02:05,-38.55,-58.74,61.0,80,0,13.0,clear sky,0.0,0.0
148,148,Longyearbyen,SJ,2020-02-24 08:02:13,78.22,15.64,-4.0,83,20,4.7,few clouds,0.0,0.0
149,149,Maragogi,BR,2020-02-24 08:02:13,-9.01,-35.22,81.91,77,5,15.68,light rain,0.25,0.0
150,150,Lar,IN,2020-02-24 08:02:13,26.2,83.97,82.74,39,0,4.16,clear sky,0.0,0.0
151,151,Machali,CL,2020-02-24 08:02:13,-34.18,-70.67,47.19,67,0,1.48,clear sky,0.0,0.0
152,152,Valparaiso,CL,2020-02-24 07:59:51,-33.04,-71.63,59.0,93,40,3.78,scattered clouds,0.0,0.0
153,153,Boyuibe,BO,2020-02-24 08:02:14,-20.42,-63.28,53.8,65,68,2.37,broken clouds,0.0,0.0
154,154,Ilhabela,BR,2020-02-24 08:00:25,-23.78,-45.36,74.84,73,96,9.13,overcast clouds,0.0,0.0
155,155,Lagoa,PT,2020-02-24 08:02:14,39.05,-27.98,59.72,80,20,12.1,few clouds,0.0,0.0
156,156,Ilulissat,GL,2020-02-24 08:02:14,69.22,-51.1,5.0,65,97,6.93,overcast clouds,0.0,0.0
157,157,Mount Isa,AU,2020-02-24 08:02:14,-20.73,139.5,86.0,70,40,5.82,scattered clouds,0.0,0.0
158,158,Sakura,JP,2020-02-24 08:02:15,35.72,140.23,59.0,50,0,11.41,clear sky,0.0,0.0
159,159,Waipawa,NZ,2020-02-24 08:02:15,-41.41,175.52,62.01,70,76,8.23,broken clouds,0.0,0.0
160,160,Ostrovnoy,RU,2020-02-24 08:02:15,68.05,39.51,23.22,91,100,4.85,overcast clouds,0.0,0.0
161,161,Katsuura,JP,2020-02-24 08:02:15,35.13,140.3,57.2,50,20,11.41,few clouds,0.0,0.0
162,162,Shingu,JP,2020-02-24 08:02:16,33.73,135.98,55.4,47,0,11.41,clear sky,0.0,0.0
163,163,Sinnamary,GF,2020-02-24 08:02:16,5.38,-52.95,78.76,83,100,17.2,light rain,0.31,0.0
164,164,Ena,JP,2020-02-24 08:02:16,35.45,137.41,35.94,76,33,1.34,scattered clouds,0.0,0.0
165,165,Berlevag,NO,2020-02-24 08:02:16,70.86,29.09,32.0,92,75,5.82,shower rain,0.0,0.0
166,166,Eyl,SO,2020-02-24 08:02:16,7.98,49.82,79.05,73,78,20.92,broken clouds,0.0,0.0
