City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Nikolskoye,RU,2020-02-22 21:24:05,59.7,30.79,35.01,93,90,13.42
204,Talnakh,RU,2020-02-22 21:23:51,69.49,88.4,8.6,84,100,24.61
205,Mayo,US,2020-02-22 21:28:08,38.89,-76.51,55.0,18,1,6.93
206,Waddan,LY,2020-02-22 21:28:08,29.16,16.14,55.47,46,0,9.44
207,Ponta Delgada,PT,2020-02-22 21:28:08,37.73,-25.67,57.2,76,20,4.7
208,Constitucion,CL,2020-02-22 21:23:24,-35.33,-72.42,62.53,72,0,6.11
209,Lexington,US,2020-02-22 21:27:01,37.99,-84.48,52.0,21,1,6.93
210,Ahome,MX,2020-02-22 21:28:09,25.92,-109.18,86.0,28,90,7.36
211,Rabo De Peixe,PT,2020-02-22 21:28:09,37.8,-25.58,57.2,76,20,4.7
212,Auki,SB,2020-02-22 21:28:09,-8.77,160.7,82.92,77,6,4.14
213,Tashtyp,RU,2020-02-22 21:28:09,52.79,89.9,20.26,96,100,4.74
214,San Quintin,MX,2020-02-22 21:28:10,30.48,-115.95,61.34,67,18,13.71
215,Banda Aceh,ID,2020-02-22 21:25:07,5.56,95.32,72.75,91,0,4.41
216,Jhelum,PK,2020-02-22 21:28:10,32.93,73.73,58.08,59,0,3.6
217,Hofn,IS,2020-02-22 21:27:35,64.25,-15.21,34.3,67,100,9.62
218,Murdochville,CA,2020-02-22 21:28:11,48.96,-65.5,25.29,81,55,8.01
219,Khuzhir,RU,2020-02-22 21:28:11,53.19,107.34,18.14,86,100,12.44
220,Zhigansk,RU,2020-02-22 21:26:06,66.77,123.37,-10.16,96,100,7.16
221,Lagoa,PT,2020-02-22 21:27:06,39.05,-27.98,59.61,81,0,10.2
222,Chengde,CN,2020-02-22 21:28:11,40.97,117.94,21.34,49,0,1.14
223,Parana,AR,2020-02-22 21:28:12,-31.73,-60.52,84.99,27,0,1.99
224,Hithadhoo,MV,2020-02-22 21:26:34,-0.6,73.08,82.15,81,89,14.03
225,Mersing,MY,2020-02-22 21:28:12,2.43,103.84,80.6,83,0,12.75
226,Cayenne,GF,2020-02-22 21:28:12,4.93,-52.33,82.4,78,90,11.41
227,Scarborough,GB,2020-02-22 21:28:12,54.28,-0.4,45.0,75,67,19.46
228,Pimenta Bueno,BR,2020-02-22 21:28:13,-11.67,-61.19,69.42,98,100,5.12
229,Druzhba,UA,2020-02-22 21:28:13,52.04,33.95,32.92,82,100,17.31
230,Khandyga,RU,2020-02-22 21:28:13,62.67,135.6,-4.25,98,98,1.7
231,Vila Velha,BR,2020-02-22 21:28:13,-20.33,-40.29,78.8,88,90,6.93
232,Honningsvag,NO,2020-02-22 21:28:13,70.98,25.97,36.01,75,53,26.93
233,Olds,CA,2020-02-22 21:28:14,51.78,-114.1,34.0,82,75,8.05
234,Riachao Das Neves,BR,2020-02-22 21:28:14,-11.75,-44.91,76.53,89,85,2.57
235,Takaka,NZ,2020-02-22 21:28:14,-40.85,172.8,64.0,67,7,4.0
236,Lavrentiya,RU,2020-02-22 21:28:14,65.58,-171.0,-17.19,96,33,5.91
237,Qingdao,CN,2020-02-22 21:28:15,36.1,120.37,37.99,64,0,6.71
238,Churapcha,RU,2020-02-22 21:28:15,62.0,132.43,-7.06,99,93,2.73
239,Touros,BR,2020-02-22 21:24:54,-5.2,-35.46,82.4,83,75,6.93
240,Anadyr,RU,2020-02-22 21:28:15,64.75,177.48,-16.6,68,0,6.71
241,Padang,ID,2020-02-22 21:27:57,-0.95,100.35,70.09,83,0,6.89
242,Santa Cruz De Tenerife,ES,2020-02-22 21:26:32,28.47,-16.25,69.01,42,100,18.34
243,Vangaindrano,MG,2020-02-22 21:28:16,-23.35,47.6,72.55,96,100,2.75
244,Hasaki,JP,2020-02-22 21:26:32,35.73,140.83,46.4,42,20,4.7
245,George,ZA,2020-02-22 21:28:16,-33.96,22.46,62.6,88,100,8.05
246,Orlik,RU,2020-02-22 21:28:16,52.52,99.83,5.13,92,100,2.46
247,Sorland,NO,2020-02-22 21:28:17,67.67,12.69,40.95,77,96,19.48
248,Kananga,CD,2020-02-22 21:28:17,-5.9,22.42,73.9,87,98,4.27
249,Maragogi,BR,2020-02-22 21:26:49,-9.01,-35.22,82.13,80,70,14.45
250,Agadir,MA,2020-02-22 21:28:17,30.42,-9.6,71.6,26,0,9.17
251,Beloha,MG,2020-02-22 21:28:18,-25.17,45.05,77.22,81,3,9.06
252,Hay River,CA,2020-02-22 21:28:18,60.82,-115.8,6.8,77,75,8.05
253,Cabedelo,BR,2020-02-22 21:28:18,-6.98,-34.83,82.4,83,20,9.17
254,Dakar,SN,2020-02-22 21:28:18,14.69,-17.44,71.6,88,40,16.11
255,Moranbah,AU,2020-02-22 21:28:19,-22.0,148.05,73.76,83,99,15.79
256,Januaria,BR,2020-02-22 21:24:45,-15.48,-44.37,78.04,87,87,3.71
257,Shahrud,IR,2020-02-22 21:28:19,36.42,54.98,41.29,77,0,0.63
258,Kollam,IN,2020-02-22 21:27:07,8.88,76.6,78.8,83,40,18.86
259,Zherdevka,RU,2020-02-22 21:28:20,51.85,41.46,28.2,98,97,5.55
